"id","date_entered","date_modified","modified_user_id","assigned_user_id","created_by","deleted","name","opportunity_type","lead_source","amount","amount_backup","amount_usdollar","currency_id","date_closed","next_step","sales_stage","probability","description","id1","user_name","user_password","user_hash","first_name","last_name","reports_to_id","is_admin","receive_notifications","description1","date_entered1","date_modified1","modified_user_id1","created_by1","title","department","phone_home","phone_mobile","phone_work","phone_other","phone_fax","email1","email2","status","address_street","address_city","address_state","address_country","address_postalcode","user_preferences","deleted1","portal_only","employee_status","messenger_id","messenger_type"
"b171c0dc-1868-6f3b-cd40-438dfbd0ffac","2002-11-06 01:00:00","2005-11-30 19:24:22","1","beth_id","1",0,"Alpha-Murraiin Communi - 3300 units - Beth","","Self Generated",1000,"",1000,"-99","2002-11-16 00:00:00","","Closed Lost",70,"","beth_id","beth","be8s0iRRteawA","f0d78724487b188c0df666f874af6b27","Beth","Sasseen","emil_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Senior Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"f28d386f-f2c4-8352-389a-438dfbf326c2","2002-11-06 01:00:00","2005-11-30 19:24:23","1","sarah_id","1",0,"N & W Creek Transporta - 2400 units - Sarah","New Business","Other",600,"",600,"-99","2002-11-17 00:00:00","","Closed Lost",60,"","sarah_id","sarah","saNlG1sZgdyQI","9e9d7a08e048e9d604b79460b54969c3","Sarah","Smith","jim_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Sales Manager West",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"ec0467f2-b5ad-6a64-d2ad-438dfb9600c6","2002-11-13 01:00:00","2005-11-30 19:24:29","1","max_id","1",0,"B & D Wolter Machinery - 2400 units - Max","New Business","Partner",1030,"",1030,"-99","2002-11-24 00:00:00","","Closed Lost",75,"","max_id","max","macxjOjJxY/jQ","2ffe4e77325d9a7152f7086ea7aa5114","Max","Jensen","jim_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"1d044d87-32c8-abcc-ace6-438dfb7ca942","2002-11-13 01:00:00","2005-11-30 19:24:30","1","sarah_id","1",0,"Wolter-Collins Constru - 1900 units - Sarah","New Business","Existing Customer",1630,"",1630,"-99","2002-11-25 00:00:00","","Closed Lost",35,"","sarah_id","sarah","saNlG1sZgdyQI","9e9d7a08e048e9d604b79460b54969c3","Sarah","Smith","jim_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Sales Manager West",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"447dd4e9-2ce3-5968-071c-438dfbe1abfb","2002-11-13 01:00:00","2005-11-30 19:24:31","1","kristen_id","1",0,"H & E Baker Machinery  - 3100 units - Kristen","Existing Business","Web Site",530,"",530,"-99","2002-11-26 00:00:00","","Closed Lost",90,"","kristen_id","kristen","krxNX3wFR4B8k","f52b06185d58a5eb571ec260092f099f","Kristen","Verona","vital_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Sales Manager East",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"ed822ec6-67bd-1d16-df7f-438dfb5fcde0","2002-11-20 01:00:00","2005-11-30 19:24:34","1","chris_id","1",0,"I & M Wyllie Transport - 1800 units - Chris","","",1630,"",1630,"-99","2002-12-01 00:00:00","","Closed Lost",80,"","chris_id","chris","ch2OzIWQ3xNYE","6b34fe24ac2ff8103f6fce1f0da2ef57","Chris","Olliver","emil_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Senior Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"1ecc6128-d97f-6233-282b-438dfb85d241","2002-11-20 01:00:00","2005-11-30 19:24:35","1","will_id","1",0,"Wyllie-Conley Electron - 3100 units - Will","New Business","Word of mouth",930,"",930,"-99","2002-12-01 00:00:00","","Closed Lost",70,"","will_id","will","wiwk9GAZorV96","18218139eec55d83cf82679934e5cd75","Will","Westin","emil_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Sales Manager East",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"bd38bcad-f228-fbaa-4d87-438dfbe201a8","2002-11-20 01:00:00","2005-11-30 19:24:33","1","sally_id","1",0,"Borges-Wyro Telecommun - 2600 units - Sally","Existing Business","Existing Customer",530,"",530,"-99","2002-12-02 00:00:00","","Closed Lost",85,"","sally_id","sally","sa3Y.Uo7lnGqE","b8bba2baae4c2a08fdff4e223458577d","Sally","Bronsen","jim_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Senior Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"75c62ad3-1e26-630b-44fa-438dfbfc20c8","2002-11-27 01:00:00","2005-11-30 19:24:37","1","jaime_id","1",0,"Bernard-Macaluso Telec - 3100 units - Jaime","","Employee",630,"",630,"-99","2002-12-07 00:00:00","","Closed Lost",25,"","jaime_id","jaime","ja8gY0omVDzIo","fde2fdb1dbf604aede0ffee76d26e4ce","Jaime","Mesquite","vital_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Senior Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"6917febf-23a4-e165-3f33-438dfb1f0d7a","2002-11-27 01:00:00","2005-11-30 19:24:37","1","jaime_id","1",0,"Bernard-Macaluso Telec - 3300 units - Jaime","","Other",1930,"",1930,"-99","2002-12-08 00:00:00","","Closed Lost",45,"","jaime_id","jaime","ja8gY0omVDzIo","fde2fdb1dbf604aede0ffee76d26e4ce","Jaime","Mesquite","vital_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Senior Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"1aeeaa62-d3a2-5647-0e6e-438dfb2fbc94","2002-11-06 01:00:00","2005-11-30 19:24:23","1","matt_id","1",0,"Creek-Medina Engineeri - 3100 units - Matt","New Business","",14000,"",14000,"-99","2002-12-11 00:00:00","","Closed Lost",70,"","matt_id","matt","ma5XgjSoDieYE","ce86d7d02a229acfaca4b63f01a1171b","Matt","Dominic","vital_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Senior Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"d7f5cc35-596b-41a1-77b8-438dfb9ed2b4","2002-11-27 01:00:00","2005-11-30 19:24:40","1","max_id","1",0,"D & Z Goldey Electroni - 3400 units - Max","Existing Business","Self Generated",630,"",630,"-99","2002-12-11 00:00:00","","Closed Lost",90,"","max_id","max","macxjOjJxY/jQ","2ffe4e77325d9a7152f7086ea7aa5114","Max","Jensen","jim_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"e21969b7-27b5-0ffb-bb0f-438dfbc51831","2002-11-27 01:00:00","2005-11-30 19:24:40","1","max_id","1",0,"D & Z Goldey Electroni - 2700 units - Max","","Direct Mail",1330,"",1330,"-99","2002-12-12 00:00:00","","Closed Lost",60,"","max_id","max","macxjOjJxY/jQ","2ffe4e77325d9a7152f7086ea7aa5114","Max","Jensen","jim_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"404edcbc-2e85-0029-90b5-438dfbcdcc16","2002-11-13 01:00:00","2005-11-30 19:24:31","1","kristen_id","1",0,"H & E Baker Machinery  - 4100 units - Kristen","","Trade Show",5030,"",5030,"-99","2002-12-17 00:00:00","","Closed Lost",50,"","kristen_id","kristen","krxNX3wFR4B8k","f52b06185d58a5eb571ec260092f099f","Kristen","Verona","vital_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Sales Manager East",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"3cd02b37-dbd0-4e4b-a4ae-438dfb5cd497","2002-12-11 01:00:00","2005-11-30 19:24:48","1","will_id","1",0,"N & O Petty Electronic - 1800 units - Will","","Web Site",1530,"",1530,"-99","2002-12-21 00:00:00","","Closed Lost",45,"","will_id","will","wiwk9GAZorV96","18218139eec55d83cf82679934e5cd75","Will","Westin","emil_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Sales Manager East",,,,,,,,,"Active",,,,,,,0,0,"Active",,
"c6d9de5c-c0cd-8f81-235b-438dfbf3ce7d","2002-11-20 01:00:00","2005-11-30 19:24:33","1","sally_id","1",0,"Borges-Wyro Telecommun - 2900 units - Sally","Existing Business","Other",5930,"",5930,"-99","2002-12-22 00:00:00","","Closed Lost",50,"","sally_id","sally","sa3Y.Uo7lnGqE","b8bba2baae4c2a08fdff4e223458577d","Sally","Bronsen","jim_id","","1",,"2005-11-30 19:19:03","2005-11-30 19:19:03","1","1","Senior Account Rep",,,,,,,,,"Active",,,,,,,0,0,"Active",,
